No.,Weight,Shelf_Life,Cost
1,12,19,23
2,30,44,22
3,25,33,13
4,48,9,3
5,40,45,9
6,11,24,29
7,2,40,41
8,32,36,19
9,33,38,20
10,40,9,46
11,45,20,4
12,38,33,15
13,13,4,2
14,27,2,2
15,13,4,35
16,35,32,29
17,36,26,38
18,26,26,28
19,5,15,24
20,43,31,17
21,49,44,30
22,10,11,5
23,44,30,4
24,13,16,30
25,22,49,39
26,44,5,27
27,27,40,35
28,12,44,1
29,14,6,43
30,9,40,6
31,25,31,21
32,29,20,46
33,44,42,39
34,9,20,16
35,28,25,17
36,49,42,12
37,4,34,7
38,11,20,40
39,20,25,14
40,36,13,47
41,16,46,32
42,49,19,47
43,48,38,38
44,7,14,36
45,11,29,40
46,14,15,31
47,15,36,24
48,38,20,5
49,31,38,15
50,22,22,43
51,4,1,17
52,48,29,21
53,2,42,17
54,23,41,25
55,38,45,23
56,44,44,16
57,4,49,39
58,22,29,2
59,19,24,42
60,6,39,42
61,41,4,1
62,35,26,16
63,15,5,12
64,45,13,2
65,16,28,43
66,39,9,1
67,38,38,47
68,27,30,14
69,33,26,46
70,1,28,36
71,36,22,26
72,23,47,34
73,40,1,5
74,28,49,41
75,7,19,49
76,6,25,17
77,48,12,15
78,45,35,48
79,7,21,23
80,3,22,19
81,29,8,27
82,15,7,34
83,34,1,26
84,9,45,8
85,42,16,12
86,24,5,8
87,2,37,21
88,47,9,46
89,16,43,6
90,3,22,24
91,34,35,41
92,26,49,23
93,46,8,7
94,2,38,24
95,24,19,14
96,22,28,14
97,15,17,45
98,20,20,13
99,14,35,20
100,26,35,45
