No.,Weight,Shelf_Life,Cost
1,40,31,4
2,23,23,12
3,42,47,43
4,22,26,7
5,1,40,25
6,38,43,10
7,15,44,30
8,37,10,33
9,47,3,10
10,15,19,2
11,40,39,28
12,44,37,3
13,1,34,47
14,45,27,2
15,6,47,27
16,30,40,7
17,44,4,15
18,46,27,13
19,15,11,15
20,39,21,33
21,24,28,33
22,45,35,35
23,19,44,2
24,32,21,4
25,3,22,28
26,41,42,9
27,29,46,43
28,36,18,28
29,16,28,11
30,31,23,13
31,14,47,7
32,39,31,27
33,4,29,44
34,1,35,33
35,15,27,49
36,19,48,8
37,9,25,2
38,32,14,48
39,7,3,20
40,49,5,15
41,30,16,23
42,8,41,26
43,27,37,39
44,49,8,29
45,3,43,33
46,14,28,20
47,29,1,10
48,24,40,22
49,21,45,24
50,15,3,6
51,15,41,22
52,43,37,40
53,32,43,21
54,28,28,27
55,8,12,1
56,12,33,19
57,10,29,10
58,13,49,8
59,22,42,10
60,29,40,2
61,42,48,20
62,44,22,43
63,38,10,41
64,42,10,3
65,18,46,22
66,21,3,38
67,32,14,47
68,7,41,7
69,47,30,5
70,34,11,36
71,8,28,13
72,16,47,27
73,10,46,45
74,40,23,14
75,6,43,29
76,34,34,2
77,18,17,48
78,25,44,2
79,15,47,16
80,42,28,36
81,20,35,47
82,17,48,36
83,17,3,40
84,46,18,1
85,30,24,49
86,31,48,12
87,8,35,28
88,41,22,28
89,35,14,35
90,4,31,47
91,20,12,14
92,40,6,16
93,20,22,19
94,25,46,39
95,26,40,24
96,3,14,49
97,19,47,7
98,32,49,46
99,35,28,48
100,20,25,6
