No.,Weight,Shelf_Life,Cost
1,20,45,9
2,3,15,35
3,45,27,32
4,34,46,31
5,32,28,10
6,8,39,29
7,25,3,24
8,4,41,21
9,36,22,29
10,7,44,12
11,26,24,40
12,17,14,10
13,29,28,3
14,36,4,13
15,33,29,38
16,7,45,13
17,10,39,46
18,14,45,38
19,26,30,43
20,43,31,40
21,1,14,17
22,4,25,24
23,33,17,4
24,29,30,28
25,12,4,12
26,4,10,10
27,10,35,2
28,10,47,16
29,31,38,43
30,29,14,7
31,24,33,26
32,9,27,14
33,48,7,33
34,48,34,22
35,23,22,41
36,43,17,44
37,38,16,9
38,45,38,20
39,3,25,46
40,24,4,38
41,11,20,10
42,7,35,31
43,1,46,45
44,35,37,31
45,25,16,7
46,20,25,11
47,8,11,24
48,16,33,38
49,28,15,35
50,20,30,42
51,33,43,9
52,43,44,5
53,34,3,7
54,16,37,38
55,4,8,12
56,2,40,49
57,49,28,45
58,44,32,40
59,16,10,36
60,25,31,7
61,48,35,30
62,16,18,6
63,32,27,16
64,47,30,29
65,7,15,10
66,11,19,1
67,29,45,1
68,48,42,14
69,20,40,41
70,7,42,47
71,42,48,48
72,33,7,45
73,29,40,48
74,15,25,27
75,15,5,21
76,32,20,23
77,15,35,12
78,7,18,40
79,49,16,44
80,48,6,9
81,12,41,17
82,34,35,19
83,40,27,39
84,31,42,27
85,7,17,21
86,10,29,38
87,7,20,8
88,45,34,13
89,15,38,46
90,47,25,36
91,47,27,26
92,40,20,7
93,20,22,31
94,30,15,1
95,44,27,39
96,44,18,20
97,1,44,35
98,27,12,40
99,32,26,30
100,34,24,30
