Employee ID,Basic Salary
1,21382
2,23231
3,17795
4,17095
5,4779
6,32966
7,13772
8,39477
9,-8708
10,3580
11,10089
12,1248
13,30579
14,-5522
15,34660
16,3034
17,28579
18,6858
19,9016
20,34248
21,30827
22,33047
23,-6349
24,17442
25,34726
26,22601
27,16668
28,-178
29,1971
30,21948
31,4153
32,-3984
33,32259
34,-8645
35,428
36,34767
37,30241
38,30972
39,31307
40,6869
41,-5475
42,31672
43,36149
44,-5837
45,-5834
46,10758
47,-9284
48,22571
49,29611
50,25087
51,13917
52,11823
53,38544
54,31125
55,27500
56,36773
57,30493
58,10979
59,19215
60,16177
61,8251
62,17784
63,22349
64,14331
65,26874
66,-8835
67,3208
68,-8618
69,12791
70,30405
71,-3298
72,7641
73,-6963
74,18071
75,32126
76,36675
77,7657
78,5293
79,-4837
80,38137
81,29526
82,23383
83,20038
84,475
85,36197
86,13828
87,-9122
88,9767
89,15883
90,31170
91,18956
92,-5154
93,18853
94,19449
95,-6761
96,32456
97,-8863
98,19739
99,-7125
100,19468
101,20020
102,7813
103,958
104,32670
105,37899
106,815
107,20901
108,29316
109,9311
110,11992
111,-2527
112,23849
113,-8862
114,26079
115,1695
116,10795
117,1288
118,1080
119,-6842
120,11890
121,23554
122,2719
123,17978
124,18590
125,22973
126,38053
127,5459
128,14601
129,36516
130,29570
131,24387
132,-6042
133,-5080
134,-7007
135,6111
136,32694
137,33574
138,28081
139,36137
140,7601
141,35406
142,393
143,15982
144,26665
145,27389
146,9645
147,21512
148,18857
149,29160
150,79
151,-3296
152,6034
153,622
154,17360
155,-3861
156,22120
157,27401
158,-6713
159,35203
160,30851
161,-3163
162,39190
163,10900
164,-5532
165,9186
166,-3110
167,11079
168,-7640
169,10367
170,5467
171,-473
172,26267
173,10506
174,-3964
175,-3375
176,10375
177,18107
178,30949
179,12935
180,17914
181,14810
182,16200
183,-7580
184,33084
185,31233
186,35033
187,12520
188,-6716
189,11045
190,28045
191,29106
192,32149
193,4609
194,35697
195,-2032
196,7306
197,16383
198,7708
199,-3114
200,34385
201,13597
202,2052
203,11274
204,-5654
205,15665
206,31986
207,-7891
208,5341
209,18498
210,10113
211,845
212,34420
213,-5638
214,-4154
215,-4371
216,27046
217,-6822
218,1341
219,29699
220,36348
221,2682
222,-495
223,13144
224,6791
225,-7310
226,36572
227,-6577
228,2029
229,7334
230,30591
231,28228
232,27203
233,13998
234,3828
235,25682
236,19026
237,35387
238,21114
239,-6009
240,-9730
241,-8890
242,11353
243,4420
244,3155
245,37395
246,23828
247,23747
248,-4823
249,36093
250,25392
251,-9502
252,18004
253,-1088
254,13473
255,4094
256,34271
257,32143
258,1017
259,26426
260,-9068
261,22113
262,3500
263,31733
264,24978
265,3010
266,31672
267,15842
268,7314
269,39861
270,10249
271,34135
272,3311
273,4852
274,7720
275,30768
276,36466
277,29297
278,14802
279,35645
280,11128
281,-7591
282,30563
283,19753
284,5394
285,12215
286,-7001
287,35221
288,11144
289,36088
290,14478
291,18454
292,21054
293,25813
294,7909
295,25230
296,3266
297,13252
298,26368
299,34152
300,15007
301,17747
302,13231
303,-8789
304,2134
305,16136
306,37663
307,5782
308,1025
309,11979
310,-105
311,25836
312,14795
313,38661
314,29050
315,30981
316,6508
317,-7372
318,15000
319,5827
320,24712
321,19512
322,-5921
323,27057
324,8291
325,-205
326,22455
327,35902
328,38668
329,12892
330,11875
331,10611
332,-9875
333,30793
334,-3758
335,39928
336,35905
337,-1791
338,22861
339,39950
340,13507
341,15539
342,36869
343,15969
344,11404
345,-7726
346,22395
347,-4315
348,23805
349,15398
350,26161
351,23501
352,-3230
353,23924
354,14690
355,38256
356,-7444
357,32982
358,37997
359,17549
360,38136
361,-2694
362,2158
363,18603
364,23155
365,5620
366,14960
367,38738
368,6245
369,39392
370,-8236
371,21089
372,5953
373,18743
374,-6223
375,13636
376,-6349
377,26978
378,39276
379,30872
380,38102
381,7721
382,31780
383,9557
384,7879
385,737
386,28459
387,37077
388,12497
389,-6204
390,11541
391,-1047
392,7546
393,34761
394,12281
395,-5451
396,12790
397,-1323
398,3396
399,25199
400,34964
401,27165
402,5066
403,-614
404,39558
405,35757
406,36988
407,-9350
408,11568
409,35187
410,34012
411,560
412,3863
413,4963
414,26
415,10938
416,38431
417,39006
418,-5860
419,-5839
420,-8802
421,5540
422,-3570
423,18536
